Metric,Mean,Median,Min,Max,Std Dev
Read Length (bp),3342.4,3304.0,101.0,10715.0,1128.5
GC Content (%),51.8,52.6,29.7,64.6,4.4
Quality Score,33.4,34.4,6.3,39.4,3.7
